siteID,date,month,watershed,d18O,d2H,dexcess,lcexcess,elevation_m,contributing_area_ha,slope_pct,twi,lon,lat,flowing,prior,s1,s2,s1_rhat,s2_rhat,s1_neff,s2_neff
02M10,2021-06-07,6,N02B,-5.92,-37.08,10.28,-0.41,387.22,6.15,5.14,14.13,-96.59357,39.08251,TRUE,"c(0.038, 0.962)",0.03933758250370521,0.9606624174962948,1.0008407754492847,1.0008554275536892,7500,7500
02M10,2021-07-13,7,N02B,-5.57,-35.54,9.02,-1.65,387.22,6.15,5.14,14.13,-96.59357,39.08251,FALSE,"c(0.038, 0.962)",0.03972733994160158,0.9602726600583984,1.0008053617266774,1.0009413668693148,7500,7500
02M11,2021-06-07,6,N02B,-5.92,-37.14,10.22,-0.47,401.54,2.67,1.42,14.58,-96.593682,39.079249,TRUE,"c(0.038, 0.962)",0.04004453824095709,0.9599554617590429,1.000895797695948,1.0009125669662684,7500,7500
02M11,2021-07-13,7,N02B,-5.58,-35.42,9.22,-1.45,401.54,2.67,1.42,14.58,-96.593682,39.079249,FALSE,"c(0.038, 0.962)",0.039290821100221585,0.9607091788997785,1.0008354805768087,1.0008356065232307,7500,7500
04M01,2021-06-07,6,N04D,-5.92,-37.15,10.21,-0.48,355.16,39.76,4.5,16.13,-96.586195,39.089842,TRUE,"c(0.038, 0.962)",0.03965956560658375,0.9603404343934162,1.0011518301210074,1.0012042093441191,5700,4900
04M01,2021-07-13,7,N04D,-5.82,-36.99,9.57,-1.12,355.16,39.76,4.5,16.13,-96.586195,39.089842,TRUE,"c(0.038, 0.962)",0.03915090930461453,0.9608490906953855,1.001176598240792,1.0018257399231314,5300,4700
04M01,2021-08-09,8,N04D,-4.64,-29.25,7.87,-2.73,355.16,39.76,4.5,16.13,-96.586195,39.089842,FALSE,"c(0.038, 0.962)",0.03993840810005472,0.9600615918999452,1.0008113782770798,1.0008172122134869,7500,7500
04M02,2021-06-07,6,N04D,-5.96,-38,9.68,-1.02,362.07,30.21,4.06,15.96,-96.58481,39.08775,TRUE,"c(0.038, 0.962)",0.03917412598110359,0.9608258740188964,1.0009314914890655,1.0008697547727536,7500,7500
04M02,2021-07-13,7,N04D,-5.7,-36.3,9.3,-1.38,362.07,30.21,4.06,15.96,-96.58481,39.08775,TRUE,"c(0.038, 0.962)",0.03949177691329672,0.96050822308670325,1.001181436777138,1.0008996643510504,5200,7500
04M02,2021-08-09,8,N04D,-5.1,-32.4,8.4,-2.24,362.07,30.21,4.06,15.96,-96.58481,39.08775,FALSE,"c(0.038, 0.962)",0.039882520011383815,0.9601174799886162,1.0010657350608312,1.0013148917282075,7500,3900
